num,product_a_final_year,product_b_final_year,product_a_series,product_b_series,product_a_wins,post_claim_correct_text,post_claim_incorrect_text
001,54.6,47.3,16.0;19.5;25.8;30.9;33.9;37.5;41.2;45.2;49.7;54.6,17.8;20.9;24.7;28.9;32.0;35.2;37.1;40.1;43.0;47.3,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
002,40.9,36.2,21.6;22.6;24.0;27.2;28.4;28.5;30.2;33.2;39.5;40.9,24.1;25.0;26.1;26.5;27.2;27.6;28.5;30.4;33.8;36.2,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
003,32.4,25.9,14.9;15.9;18.8;19.8;20.3;22.7;25.6;29.6;29.1;32.4,19.2;20.1;20.2;20.2;20.9;21.1;22.0;24.1;24.1;25.9,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
004,39.7,34.2,30.9;32.1;33.4;34.4;33.6;38.1;36.5;35.5;36.7;39.7,29.2;30.9;30.7;31.3;32.2;34.1;33.3;32.6;32.7;34.2,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
005,31.2,24.5,19.9;21.1;22.2;22.9;24.0;25.1;26.9;25.3;27.2;31.2,21.0;21.4;22.3;22.9;22.4;23.0;22.4;22.1;22.3;24.5,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
006,12.6,7.1,18.6;15.7;16.5;14.6;14.7;14.0;14.0;14.3;13.8;12.6,22.0;19.6;19.1;16.4;15.4;12.6;12.1;11.5;8.5;7.1,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
007,28.4,20.9,16.6;18.3;19.3;19.0;19.6;21.6;22.8;23.7;25.7;28.4,15.6;17.0;17.8;17.2;16.5;17.9;17.6;19.0;20.1;20.9,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
008,20.9,14.8,23.4;24.2;22.4;24.2;22.8;22.1;23.1;21.7;19.8;20.9,22.3;20.9;20.2;21.0;19.2;18.0;17.9;16.1;14.4;14.8,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
009,42.5,36.8,19.0;20.9;23.7;25.8;27.4;29.9;34.1;37.9;38.8;42.5,19.2;21.6;22.4;24.0;26.8;28.0;31.0;33.2;34.8;36.8,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
010,11.4,6.3,26.6;23.7;23.2;21.3;20.7;17.9;18.6;15.5;13.7;11.4,27.8;25.3;24.1;21.3;20.1;16.5;15.5;12.7;9.3;6.3,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
011,83.2,77.8,29.7;34.5;41.9;47.7;53.5;59.5;67.0;71.6;75.4;83.2,29.1;34.8;41.1;46.2;51.9;57.6;63.7;67.3;71.3;77.8,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
012,22.4,15.0,21.7;21.5;22.5;21.8;22.4;20.7;19.8;22.8;21.9;22.4,27.1;25.3;24.9;22.8;20.9;19.3;17.2;16.7;16.1;15.0,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
013,81.4,75.0,18.5;25.0;32.8;40.3;46.2;50.8;58.4;67.5;74.1;81.4,20.9;27.1;33.7;40.0;45.0;50.1;56.3;63.3;69.3;75.0,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
014,58.5,51.3,26.4;31.5;34.7;39.1;41.3;44.1;48.8;49.1;53.8;58.5,31.4;33.6;36.4;39.9;41.7;42.9;44.6;45.3;47.8;51.3,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
015,46.1,40.4,16.5;18.8;23.5;25.8;29.9;34.0;37.7;39.2;42.0;46.1,16.5;18.9;22.6;24.3;28.0;30.7;34.2;35.0;38.1;40.4,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
016,20.3,14.6,23.9;24.5;21.4;21.6;20.0;18.6;18.3;20.3;19.1;20.3,23.0;23.2;20.7;19.4;17.8;16.0;16.0;16.2;16.0;14.6,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
017,80.4,74.6,24.8;30.3;38.2;44.8;51.6;54.3;62.7;69.0;74.8;80.4,25.1;29.1;35.5;41.5;47.5;51.4;57.8;62.8;69.1;74.6,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
018,51.0,43.6,15.9;22.1;24.0;27.2;32.7;37.1;41.2;45.3;47.9;51.0,21.1;24.2;26.3;28.0;31.4;34.5;37.8;40.5;41.8;43.6,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
019,49.0,41.1,26.8;28.2;30.5;33.1;37.1;38.2;40.6;44.3;44.4;49.0,25.4;26.8;28.3;30.9;32.9;34.4;36.2;37.7;38.7;41.1,True,The 2026 Market Report has just been released. Looks like Product A revenue ended up higher than Product B revenue by Year 10!,The 2026 Market Report has just been released. Looks like Product B revenue ended up higher than Product A revenue by Year 10!
