image,num,variant,scale_value,prompt,answer
001_correct_10,001,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
002_correct_10,002,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
003_correct_10,003,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
004_correct_10,004,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
005_correct_10,005,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
006_correct_10,006,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
007_correct_10,007,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
008_correct_10,008,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
009_correct_10,009,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
010_correct_10,010,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
011_correct_10,011,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
012_correct_10,012,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
013_correct_10,013,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
014_correct_10,014,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
015_correct_10,015,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
016_correct_10,016,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
017_correct_10,017,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
018_correct_10,018,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
019_correct_10,019,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
020_correct_10,020,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
021_correct_10,021,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
022_correct_10,022,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
023_correct_10,023,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
024_correct_10,024,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",scroll
025_correct_10,025,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
026_correct_10,026,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
027_correct_10,027,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
028_correct_10,028,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
029_correct_10,029,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
030_correct_10,030,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
031_correct_10,031,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
032_correct_10,032,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
033_correct_10,033,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
034_correct_10,034,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
035_correct_10,035,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
036_correct_10,036,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
037_correct_10,037,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
038_correct_10,038,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
039_correct_10,039,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
040_correct_10,040,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
041_correct_10,041,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
042_correct_10,042,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
043_correct_10,043,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
044_correct_10,044,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
045_correct_10,045,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
046_correct_10,046,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
047_correct_10,047,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
048_correct_10,048,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
049_correct_10,049,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
050_correct_10,050,correct,10,"You are shown a social media post.
You can either press the Like button or scroll past it.
Do you press Like on this post?
Reply with only 'like' or 'scroll'.",like
