image,num,correct_scale,incorrect_scale,post_a_variant,post_b_variant,prompt,answer,liked_variant,pair
001_correct0_vs_incorrect10,001,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
003_correct0_vs_incorrect10,003,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
004_correct0_vs_incorrect10,004,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,correct,0_vs_10
005_correct0_vs_incorrect10,005,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
006_correct0_vs_incorrect10,006,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
007_correct0_vs_incorrect10,007,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
012_correct0_vs_incorrect10,012,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
014_correct0_vs_incorrect10,014,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
015_correct0_vs_incorrect10,015,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,incorrect,0_vs_10
017_correct0_vs_incorrect10,017,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
018_correct0_vs_incorrect10,018,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
020_correct0_vs_incorrect10,020,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
021_correct0_vs_incorrect10,021,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
023_correct0_vs_incorrect10,023,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
025_correct0_vs_incorrect10,025,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
026_correct0_vs_incorrect10,026,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
028_correct0_vs_incorrect10,028,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
029_correct0_vs_incorrect10,029,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,correct,0_vs_10
030_correct0_vs_incorrect10,030,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
032_correct0_vs_incorrect10,032,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
036_correct0_vs_incorrect10,036,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
039_correct0_vs_incorrect10,039,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
044_correct0_vs_incorrect10,044,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
047_correct0_vs_incorrect10,047,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
052_correct0_vs_incorrect10,052,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
054_correct0_vs_incorrect10,054,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
055_correct0_vs_incorrect10,055,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,incorrect,0_vs_10
058_correct0_vs_incorrect10,058,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,correct,0_vs_10
059_correct0_vs_incorrect10,059,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
063_correct0_vs_incorrect10,063,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
065_correct0_vs_incorrect10,065,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
068_correct0_vs_incorrect10,068,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
069_correct0_vs_incorrect10,069,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
070_correct0_vs_incorrect10,070,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",B,correct,0_vs_10
072_correct0_vs_incorrect10,072,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
076_correct0_vs_incorrect10,076,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
078_correct0_vs_incorrect10,078,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
080_correct0_vs_incorrect10,080,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
082_correct0_vs_incorrect10,082,0,10,correct,incorrect,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,correct,0_vs_10
083_correct0_vs_incorrect10,083,0,10,incorrect,correct,"You are shown two social media posts, Post A and Post B.
You are only allowed to press the Like button on one of them.
Which post do you press Like on?
Reply with only 'A' or 'B'.",A,incorrect,0_vs_10
