image,variant,scale_value,decoded_answer,p_like,model,condition,phrasing,decoded_like_binary
001_correct,correct,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
001_incorrect,incorrect,,scroll,0.0004173157606777201,gemma-12b,baseline,single,0
002_correct,correct,,scroll,7.031184266914957e-05,gemma-12b,baseline,single,0
002_incorrect,incorrect,,scroll,0.00021654404989510323,gemma-12b,baseline,single,0
003_correct,correct,,scroll,0.00012339457598623172,gemma-12b,baseline,single,0
003_incorrect,incorrect,,scroll,0.0002601722994730165,gemma-12b,baseline,single,0
004_correct,correct,,scroll,0.00019110431587777675,gemma-12b,baseline,single,0
004_incorrect,incorrect,,scroll,0.0003859660905807735,gemma-12b,baseline,single,0
005_correct,correct,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
005_incorrect,incorrect,,scroll,0.0004424872819840241,gemma-12b,baseline,single,0
006_correct,correct,,scroll,8.481104172358075e-05,gemma-12b,baseline,single,0
006_incorrect,incorrect,,scroll,0.00033535013046647816,gemma-12b,baseline,single,0
007_correct,correct,,scroll,9.915273115920184e-05,gemma-12b,baseline,single,0
007_incorrect,incorrect,,scroll,0.00025315637215092633,gemma-12b,baseline,single,0
008_correct,correct,,scroll,0.00010889691002655443,gemma-12b,baseline,single,0
008_incorrect,incorrect,,scroll,0.00014425986448478857,gemma-12b,baseline,single,0
009_correct,correct,,scroll,8.750299760661308e-05,gemma-12b,baseline,single,0
009_incorrect,incorrect,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
010_correct,correct,,scroll,0.00015843621910252594,gemma-12b,baseline,single,0
010_incorrect,incorrect,,scroll,0.00034062932773341,gemma-12b,baseline,single,0
011_correct,correct,,scroll,8.092757566536091e-05,gemma-12b,baseline,single,0
011_incorrect,incorrect,,scroll,0.00031503869408133935,gemma-12b,baseline,single,0
012_correct,correct,,scroll,0.00019110431587777675,gemma-12b,baseline,single,0
012_incorrect,incorrect,,scroll,0.00035697063503765833,gemma-12b,baseline,single,0
013_correct,correct,,scroll,0.00023413582477639403,gemma-12b,baseline,single,0
013_incorrect,incorrect,,scroll,0.0003982130906163543,gemma-12b,baseline,single,0
014_correct,correct,,scroll,0.00010071400221737607,gemma-12b,baseline,single,0
014_incorrect,incorrect,,scroll,0.0001795279693467774,gemma-12b,baseline,single,0
015_correct,correct,,scroll,0.0002305067219931397,gemma-12b,baseline,single,0
015_incorrect,incorrect,,scroll,0.0004955359475635505,gemma-12b,baseline,single,0
016_correct,correct,,scroll,8.750299760661308e-05,gemma-12b,baseline,single,0
016_incorrect,incorrect,,scroll,0.00025714197979577713,gemma-12b,baseline,single,0
017_correct,correct,,scroll,0.00017400543552708927,gemma-12b,baseline,single,0
017_incorrect,incorrect,,scroll,0.0001809357698940679,gemma-12b,baseline,single,0
018_correct,correct,,scroll,0.00012339457598623172,gemma-12b,baseline,single,0
018_incorrect,incorrect,,scroll,0.0003017925829031648,gemma-12b,baseline,single,0
019_correct,correct,,scroll,8.220189478350843e-05,gemma-12b,baseline,single,0
019_incorrect,incorrect,,scroll,0.00014425986448478857,gemma-12b,baseline,single,0
020_correct,correct,,scroll,0.00012731104162213555,gemma-12b,baseline,single,0
020_incorrect,incorrect,,scroll,0.0002611903190957194,gemma-12b,baseline,single,0
021_correct,correct,,scroll,0.00010720880092159908,gemma-12b,baseline,single,0
021_incorrect,incorrect,,scroll,0.00042388474199374983,gemma-12b,baseline,single,0
022_correct,correct,,scroll,0.00010554685795431097,gemma-12b,baseline,single,0
022_incorrect,incorrect,,scroll,0.00015356239764960123,gemma-12b,baseline,single,0
023_correct,correct,,scroll,9.3145930425751e-05,gemma-12b,baseline,single,0
023_incorrect,incorrect,,scroll,0.00010554685795431097,gemma-12b,baseline,single,0
024_correct,correct,,scroll,0.00013982207564732912,gemma-12b,baseline,single,0
024_incorrect,incorrect,,scroll,0.00010889691002655443,gemma-12b,baseline,single,0
025_correct,correct,,scroll,0.00016346470245419303,gemma-12b,baseline,single,0
025_incorrect,incorrect,,scroll,0.00035697063503765833,gemma-12b,baseline,single,0
026_correct,correct,,scroll,9.3145930425751e-05,gemma-12b,baseline,single,0
026_incorrect,incorrect,,scroll,0.00015356239764960123,gemma-12b,baseline,single,0
027_correct,correct,,scroll,0.00013765463368900106,gemma-12b,baseline,single,0
027_incorrect,incorrect,,scroll,0.0003514382632807918,gemma-12b,baseline,single,0
028_correct,correct,,scroll,0.00013135179706526775,gemma-12b,baseline,single,0
028_incorrect,incorrect,,scroll,0.0003799845147518645,gemma-12b,baseline,single,0
